round_end_ts,round_end_utc,slug,open_ref,close_obs,delta_pct,side,latency_from_end_ms,yes_bid,yes_ask,no_bid,no_ask,book_age_ms,action
1776557700,2026-04-19 00:15:00,hype,43.959600,43.915100,-0.1012,NO,1504,0.0100,0.0800,0.9200,0.9900,14086,FAK×1 NO @0.992
1776558000,2026-04-19 00:20:00,hype,43.915100,43.907600,-0.0171,NO,1239,0.0100,0.2100,0.7900,0.9900,4732,FAK×1 NO @0.992
1776558300,2026-04-19 00:25:00,hype,43.907600,43.755900,-0.3455,NO,1312,0.0100,0.0300,0.9700,0.9900,108663,FAK×1 NO @0.992
1776558600,2026-04-19 00:30:00,hype,43.755900,43.709500,-0.1060,NO,1319,0.0100,0.1100,0.8900,0.9900,17934,FAK×1 NO @0.992
1776556500,2026-04-18 23:55:00,sol,86.292900,86.195300,-0.1131,NO,1087,0.0100,0.0200,0.9800,0.9900,30403,FAK×1 NO @0.992
1776556800,2026-04-19 00:00:00,sol,86.195300,86.168800,-0.0307,NO,1598,0.0100,0.0500,0.9500,0.9900,1045,FAK×1 NO @0.992
1776557100,2026-04-19 00:05:00,sol,86.168800,86.273500,+0.1215,YES,1254,0.9900,0.0000,0.0100,0.0200,24262,MAKER YES @0.9830
1776557400,2026-04-19 00:10:00,sol,86.273500,86.404100,+0.1514,YES,1053,0.9900,0.0000,0.0100,0.0200,40348,MAKER YES @0.9830
1776557700,2026-04-19 00:15:00,sol,86.404100,86.228600,-0.2031,NO,1546,0.0010,0.0020,0.9990,0.0000,5793,MAKER NO @0.9830
1776558000,2026-04-19 00:20:00,sol,86.228600,86.165300,-0.0734,NO,1212,0.0100,0.0200,0.9800,0.9900,12469,FAK×1 NO @0.992
1776558300,2026-04-19 00:25:00,sol,86.165300,86.117500,-0.0555,NO,1355,0.0100,0.0200,0.9800,0.9900,7618,FAK×1 NO @0.992
1776558600,2026-04-19 00:30:00,sol,86.117500,86.108800,-0.0101,NO,1238,0.0100,0.0300,0.9700,0.9900,1570,FAK×1 NO @0.992
1776556500,2026-04-18 23:55:00,xrp,1.437900,1.434000,-0.2712,NO,1136,0.0010,0.0030,0.9990,0.0000,9657,MAKER NO @0.9830
1776556800,2026-04-19 00:00:00,xrp,1.434000,1.432700,-0.0907,NO,1733,0.0100,0.0200,0.9800,0.9900,5194,FAK×1 NO @0.992
1776557100,2026-04-19 00:05:00,xrp,1.432700,1.434100,+0.0977,YES,1315,0.9900,0.0000,0.0100,0.0300,23508,MAKER YES @0.9830
1776557400,2026-04-19 00:10:00,xrp,1.434100,1.436300,+0.1534,YES,1086,0.9900,0.0000,0.0100,0.0200,57253,MAKER YES @0.9830
1776557700,2026-04-19 00:15:00,xrp,1.436300,1.435100,-0.0835,NO,1504,0.0100,0.0200,0.9800,0.9900,5311,FAK×1 NO @0.992
1776558000,2026-04-19 00:20:00,xrp,1.435100,1.433900,-0.0836,NO,1228,0.0010,0.0040,0.9960,0.9990,1138,SKIP_ABOVE_THRESHOLD NO
1776558300,2026-04-19 00:25:00,xrp,1.433900,1.432700,-0.0837,NO,1337,0.0100,0.0300,0.9700,0.9900,14585,FAK×1 NO @0.992
1776558600,2026-04-19 00:30:00,xrp,1.432700,1.432700,+0.0000,NO,1274,0.0100,0.1400,0.8600,0.9900,1067,FAK×1 NO @0.992
