name,edge,target_qty,seed_px_lo,seed_px_hi,alignment,fill_haircut,max_seed_qty,max_open_cost,seed_offset_min_s,seed_offset_max_s,seed_l1_pair_cap,cooldown_ms,imbalance_qty_cap,imbalance_cost_cap,dust_qty,residual_cooldown_age_s,residual_cooldown_cost_cap,pair_select,active_markets,strict_candidate_rows,completion_joined_candidates,completion_pair_le_100_candidates,public_audit_covered_candidates,public_audit_covered_markets,seed_actions,pair_actions,gross_buy_qty,gross_buy_cost,pair_qty,pair_share_rate,residual_qty,residual_cost,residual_settle_payout,residual_settle_pnl,qty_residual_rate,cost_residual_rate,pair_pnl,actual_settle_pnl,net_pnl,net_roi,worst_residual_net_pnl,worst_residual_roi,stress100_actual_pnl,stress100_worst_pnl,seed_block_alignment,seed_block_offset,seed_block_price_band,seed_block_l1_pair_cap,seed_block_cooldown,seed_block_target,seed_block_imbalance_qty,seed_block_imbalance_cost,seed_block_residual_cooldown
dpass_all_e055_t5_px050_900_imb125_rc30_050,0.055,5.0,0.05,0.9,all,0.25,60.0,250.0,0.0,120.0,1.02,5000,1.25,1000000000.0,1.0,30.0,0.5,fifo,4004,169494,169493,134130,99360,2195,12772,4597,15965.0,8049.3125,5746.25,0.719856,4472.5,2405.175,3216.25,811.075,0.280144,0.298805,102.1125,913.1875,913.1875,0.113449,-2303.0625,-0.286119,753.5375,-2462.7125,0,59441,0,40922,18203,0,19812,0,18344
dpass_all_e055_t5_px050_900_imb125_rc30_100,0.055,5.0,0.05,0.9,all,0.25,60.0,250.0,0.0,120.0,1.02,5000,1.25,1000000000.0,1.0,30.0,1.0,fifo,4004,169494,169493,134130,99360,2195,12772,4597,15965.0,8049.3125,5746.25,0.719856,4472.5,2405.175,3216.25,811.075,0.280144,0.298805,102.1125,913.1875,913.1875,0.113449,-2303.0625,-0.286119,753.5375,-2462.7125,0,59441,0,40922,18203,0,38156,0,0
dpass_all_e055_t5_px050_900_imb125_rc30_150,0.055,5.0,0.05,0.9,all,0.25,60.0,250.0,0.0,120.0,1.02,5000,1.25,1000000000.0,1.0,30.0,1.5,fifo,4004,169494,169493,134130,99360,2195,12772,4597,15965.0,8049.3125,5746.25,0.719856,4472.5,2405.175,3216.25,811.075,0.280144,0.298805,102.1125,913.1875,913.1875,0.113449,-2303.0625,-0.286119,753.5375,-2462.7125,0,59441,0,40922,18203,0,38156,0,0
dpass_all_e055_t5_px050_900_imb125_rc30_200,0.055,5.0,0.05,0.9,all,0.25,60.0,250.0,0.0,120.0,1.02,5000,1.25,1000000000.0,1.0,30.0,2.0,fifo,4004,169494,169493,134130,99360,2195,12772,4597,15965.0,8049.3125,5746.25,0.719856,4472.5,2405.175,3216.25,811.075,0.280144,0.298805,102.1125,913.1875,913.1875,0.113449,-2303.0625,-0.286119,753.5375,-2462.7125,0,59441,0,40922,18203,0,38156,0,0
dpass_all_e055_t5_px050_900_imb125,0.055,5.0,0.05,0.9,all,0.25,60.0,250.0,0.0,120.0,1.02,5000,1.25,1000000000.0,1.0,30.0,1000000000.0,fifo,4004,169494,169493,134130,99360,2195,12772,4597,15965.0,8049.3125,5746.25,0.719856,4472.5,2405.175,3216.25,811.075,0.280144,0.298805,102.1125,913.1875,913.1875,0.113449,-2303.0625,-0.286119,753.5375,-2462.7125,0,59441,0,40922,18203,0,38156,0,0
